STATION,NAME,DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USS0009J08S,"HICKERSON PARK, UT US",2024,,0,0,97,97,207,,43,274,57,83,0,-18,67,,1.3,89,29,27,22,14,14,32,27,14,14,14,10802,10802,23.43,,35.7,51.8,19.6,,,,
USS0009J08S,"HICKERSON PARK, UT US",2025,,522,522,92,92,190,,23,120,23,162,40,-28,36,,1.3,103,29,27,20,10,10,32,8,8,8,8,8673,8673,18.35,,50,65.2,34.9,,,,
USC00425377,"MANILA, UT US",2022,,371,371,52,38,39,18,14,180,39,121,6,-9,11,12.3,0.98,91,30,28,23,17,14,32,28,22,15,15,7229,7229,13,68.6,44.7,57.4,32.1,,,,
USC00425377,"MANILA, UT US",2023,,,,60,40,,17,,,,,,,,14.5,1.41,,,,,,,,,,,,,,11.37,58.4,,,,,,,
USC00425377,"MANILA, UT US",2024,,,,51,33,34,24,,,,,,,7,10.4,0.95,,,,,,,,,,,,7277,7277,10.78,72.4,,,,,,,
USC00425377,"MANILA, UT US",2025,,,,17,15,,2,,,,,,,,3.4,0.5,,,,,,,,,,,,,,4.44,5.9,,,,,,,
USS0010K06S,"TIMBERLINE, UT US",2022,,34,34,63,63,178,,24,228,70,89,0,-12,35,,1,86,31,28,16,16,16,28,27,23,16,16,9440,9440,18.78,,38.3,51.3,25.3,,,,
USS0010K06S,"TIMBERLINE, UT US",2023,,18,18,80,80,181,,25,213,86,60,0,-10,81,,1.8,86,27,27,24,15,15,32,27,19,19,11,10308,10308,27.94,,37.5,49.8,25.1,,,,
USS0010K06S,"TIMBERLINE, UT US",2024,,30,30,92,92,175,,9,220,66,90,0,-6,42,,1.5,87,29,28,19,19,15,31,27,22,16,12,9237,9237,24.94,,39.6,51.8,27.5,,,,
USS0010K06S,"TIMBERLINE, UT US",2025,,12,12,71,71,146,,13,209,54,79,0,-10,25,,2.3,85,29,27,22,20,14,32,27,22,17,11,9214,9214,19.34,,40.4,52.4,28.3,,,,
USR0000HORS,"HORSE HOLLOW COVE FORT 5 W UT, UT US",2022,,1091,1091,,,,,1,154,33,159,43,-2,,,,98,32,25,22,19,11,31,12,12,12,12,6010,6010,,,50.6,62.2,38.9,,,,
USR0000HORS,"HORSE HOLLOW COVE FORT 5 W UT, UT US",2023,,772,772,,,,,2,149,28,154,30,-5,,,,101,31,28,23,20,16,30,20,20,20,14,6517,6517,,,50,61.2,38.7,,,,
USR0000HORS,"HORSE HOLLOW COVE FORT 5 W UT, UT US",2024,,1181,1181,,,,,0,137,7,158,52,4,,,,100,32,23,23,18,14,29,24,24,19,16,5703,5703,,,52.8,64.5,41,,,,
USR0000HORS,"HORSE HOLLOW COVE FORT 5 W UT, UT US",2025,,1051,1051,,,,,0,121,19,154,46,1,,,,98,30,27,24,16,16,32,22,22,14,14,5421,5421,,,53.5,65.4,41.6,,,,
USS0012M05S,"HARRIS FLAT, UT US",2022,,28,28,74,74,147,,36,240,29,107,0,-17,32,,1.8,87,30,27,24,18,14,28,23,23,20,9,8668,8668,19.96,,40.6,56.7,24.4,,,,
USS0012M05S,"HARRIS FLAT, UT US",2023,,23,23,83,83,162,,33,244,44,77,0,-13,66,,1.5,89,31,26,19,19,14,30,28,24,15,15,9678,9678,26.16,,39,54.4,23.6,,,,
USS0012M05S,"HARRIS FLAT, UT US",2024,,43,43,64,64,126,,10,245,20,125,0,-13,31,,1.2,90,32,25,24,15,15,30,27,22,20,7,8608,8608,14.96,,42.1,58.1,26.1,,,,
USS0012M05S,"HARRIS FLAT, UT US",2025,,7,7,62,62,71,,10,225,15,102,0,-7,14,,2,86,30,24,23,19,14,32,27,22,18,9,8309,8309,21.66,,42.3,58.2,26.5,,,,
USC00427559,"SALINA 24 E, UT US",2022,,,,,,,20,,,,,,,,7.8,,,,,,,,,,,,,7708,7708,,67.3,,,,,,,
USC00427559,"SALINA 24 E, UT US",2023,,186,186,85,80,,47,2,179,73,79,3,-8,,8,1.65,94,32,28,23,18,10,31,28,22,15,15,,,37.64,119.8,42.1,52.9,31.4,,,,
USC00427559,"SALINA 24 E, UT US",2024,,,,42,26,,16,,,,,,,,12.3,1.39,,,,,,,,,,,,7741,7741,8.11,45.7,,,,,,,
USC00427559,"SALINA 24 E, UT US",2025,,247,247,24,19,,7,0,160,38,115,0,3,,4,0.89,89,32,28,24,19,9,28,28,15,15,15,,,6.31,16.4,46.4,57.7,35.1,,,,
USC00427714,"SCIPIO, UT US",2022,,941,941,76,37,34,15,7,186,22,171,69,-10,7,5,1.03,101,31,28,19,19,15,28,28,21,19,15,,,11.98,23.9,49.2,64.3,34.2,,,,
USC00427714,"SCIPIO, UT US",2023,,,,86,51,52,22,,,21,165,41,,4,4,0.9,102,,,,,,,,,,,,,15.71,42.4,,63.2,,,,,
USC00427714,"SCIPIO, UT US",2024,,930,930,80,40,15,11,1,161,7,164,66,-6,8,8,1.57,102,32,27,24,20,15,28,28,23,18,13,5877,5877,17.72,29.9,51.9,66.7,37.1,,,,
USC00427714,"SCIPIO, UT US",2025,,833,833,55,26,4,9,2,152,9,172,69,-3,3,6,0.6,99,30,28,23,18,16,28,28,21,18,15,5609,5609,9.92,21.9,52.2,67.7,36.6,,,,
USC00426869,"PINEVIEW DAM, UT US",2022,,444,444,88,52,119,23,22,199,49,142,43,-16,18,11.6,1.86,100,31,27,21,19,13,31,28,21,19,16,7758,7758,24.48,81.2,44.1,59.1,29.1,,,,
USC00426869,"PINEVIEW DAM, UT US",2023,,318,318,127,79,150,44,17,183,50,146,18,-24,65,16.2,2.1,97,32,22,22,18,15,32,27,24,19,6,8131,8131,38.54,190.9,44,57.5,30.4,,,,
USC00426869,"PINEVIEW DAM, UT US",2024,,436,436,112,71,128,28,2,187,22,150,32,-7,27,10.1,1.68,98,29,28,22,17,13,32,28,24,20,14,7180,7180,30.94,93.3,46.7,60.6,32.8,,,,
